Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
3,2508,750,88111,0,0,0,0,25,65,3,6,20,36,36,9
3,2578,1011,89600,0,1,2,0,22,69,3,4,15,25,35,25
2,2670,1154,126297,4,0,4,0,11,77,4,0,4,25,27,44
2,2560,1186,161727,1,3,5,0,16,72,2,1,2,22,29,47
2,2032,2354,103099,15,0,1,0,12,63,7,2,10,21,12,58
3,2190,1419,77967,9,0,15,0,29,46,2,0,18,9,41,31
2,2432,1064,155119,1,0,6,0,9,78,3,1,7,19,25,50
2,2379,2705,120859,10,0,1,0,7,76,5,1,13,20,27,40
2,2543,2610,161129,13,0,6,0,7,67,6,0,1,7,35,58
1,2519,1369,204188,6,0,6,0,6,78,4,0,1,4,26,69
1,2244,3069,181835,7,1,6,0,7,73,4,1,0,7,17,75
1,2449,1902,174932,3,0,4,0,8,79,5,0,2,7,24,68
2,2364,2902,127689,3,1,8,0,8,72,7,1,3,4,47,46
2,2520,3546,163493,8,0,6,0,13,66,6,2,2,13,31,54
2,2269,2241,140435,6,0,3,0,10,71,5,6,4,6,38,53
2,2286,2256,125381,16,0,14,0,7,61,1,1,1,11,21,67
2,1500,2412,82342,18,0,12,0,7,56,3,4,2,8,39,51
2,1378,2079,86431,9,0,15,0,25,37,6,8,7,11,36,46
1,2639,1386,183356,5,0,13,0,8,72,2,0,0,2,23,75
2,1253,1308,63515,7,8,14,0,29,33,4,6,13,20,29,38
2,1488,1745,92943,5,0,2,0,32,51,7,2,11,13,29,47
1,1454,1855,108038,12,0,12,0,1,70,4,1,4,4,34,57
1,913,3482,92723,7,0,37,0,7,44,3,3,2,8,11,80
1,1772,1846,131240,19,0,14,0,6,56,4,2,2,5,22,72
2,2465,621,161466,2,0,15,0,10,56,15,0,0,5,20,75
2,2290,988,151211,4,0,26,0,11,49,9,1,3,14,23,60
2,2355,1183,139039,13,3,14,0,3,52,14,0,1,5,26,68
1,2282,3671,187702,7,0,42,0,6,33,5,7,3,3,16,78
1,2738,1606,219246,4,0,22,0,2,66,5,0,0,3,21,76
2,2353,2303,130112,9,0,10,0,8,56,16,2,0,5,27,67
1,2141,2255,152615,15,0,22,0,9,50,2,0,1,10,22,67
1,1840,3592,131792,6,0,19,0,6,61,7,1,2,11,23,64
1,2290,2398,198452,5,2,44,0,1,40,6,2,0,2,8,90
1,1947,2038,173974,6,1,21,0,9,49,8,6,0,6,27,67
1,2151,2222,154097,15,1,28,0,5,48,3,0,2,4,26,68
1,2328,1465,165867,14,1,40,0,9,34,2,1,0,5,15,80
2,2166,2256,132649,10,1,21,0,17,41,7,2,2,13,24,61
1,2206,1995,148179,2,0,6,0,2,83,6,1,2,6,23,69
1,2069,1118,139115,13,0,6,0,13,64,4,0,0,7,30,63
1,2262,2458,160116,11,0,4,0,4,76,4,1,0,4,23,73
1,1991,1113,141465,6,0,9,0,12,73,0,0,7,7,19,67
1,2386,1116,166131,0,0,18,0,12,60,8,3,9,4,20,68
2,2566,1049,168825,2,0,4,0,8,85,0,2,1,6,32,61
2,1961,1267,95221,1,0,3,0,8,80,7,2,2,25,25,48
1,2417,1977,173376,10,3,36,0,14,30,6,1,3,6,14,77
1,2140,1953,158288,1,1,30,0,10,48,9,1,4,7,24,65
2,2381,1803,150344,15,0,21,0,4,49,4,6,5,7,34,54
2,2480,2062,148173,17,0,15,0,10,51,3,5,5,7,42,45
2,1007,1414,57900,28,0,10,0,8,49,3,2,2,5,57,36
1,2151,970,151474,1,0,40,0,12,44,2,0,2,8,15,76
1,1359,2593,117220,7,2,19,0,3,63,4,2,0,5,38,57
1,1112,1229,84463,15,1,6,0,8,63,6,1,1,31,32,35
2,2077,2015,125933,5,0,10,0,16,66,3,0,0,7,38,54
2,2651,1063,159988,5,0,2,0,2,87,4,1,0,3,26,71
1,2131,1696,167836,10,1,7,0,2,69,11,0,1,5,30,64
1,2231,2106,172272,9,0,4,0,20,60,6,0,3,7,22,67
2,2436,1939,145085,19,1,4,0,9,61,5,1,1,18,33,48
2,2307,893,129071,11,2,18,0,23,44,2,0,5,15,23,56
2,2169,1617,118936,13,0,5,0,7,70,4,0,1,11,28,60
2,2345,883,133369,24,1,1,0,11,49,9,5,6,9,31,55
2,2084,2271,87370,19,0,0,0,22,49,6,4,11,20,36,34
2,1875,2093,105098,19,0,3,0,3,74,2,0,1,23,35,42
2,2855,1928,169747,2,0,5,0,6,81,4,2,0,13,18,70
2,2041,642,92589,12,0,0,0,26,57,2,4,12,15,38,35
2,2393,2770,143147,11,1,8,0,18,56,5,1,3,8,47,43
2,1999,1251,85236,9,0,2,0,35,51,0,2,19,19,39,22
2,2305,2060,103927,4,0,0,0,26,58,5,6,16,17,32,35
2,1479,2011,73865,14,0,2,0,18,58,4,3,6,23,35,36
3,1725,2081,67679,15,1,0,0,33,38,10,3,19,31,27,23
3,2244,581,78526,23,0,3,0,36,28,10,1,35,35,22,8
3,1821,2483,69647,12,0,1,0,43,29,12,4,23,26,30,21
2,2318,2601,99723,21,1,2,0,15,45,9,8,7,30,28,35
3,2315,1266,75696,2,0,2,0,33,62,1,0,32,27,26,14
3,2650,798,105427,2,0,0,0,25,69,2,2,10,25,47,18
3,2460,1238,97815,8,0,3,0,29,54,2,4,11,23,37,29
3,2445,844,93727,1,1,0,0,37,56,1,3,15,39,37,9
3,2554,1812,87722,7,2,0,3,7,77,1,3,8,36,34,21
2,2427,1642,109328,3,0,0,0,19,68,5,5,7,38,40,15
2,2281,1858,107542,5,1,1,0,10,77,4,3,8,36,29,27
2,2361,1645,115743,7,0,1,0,10,66,4,12,6,23,45,26
2,2379,2013,123342,13,0,2,0,9,56,6,14,13,16,36,35
2,2692,1298,166429,4,0,12,0,8,57,18,2,13,8,22,58
2,2205,1514,104123,24,0,7,0,8,54,4,2,1,6,43,50
2,2153,1464,87514,9,0,7,0,16,64,2,2,9,15,52,24
2,2276,2070,104963,12,0,0,0,19,51,9,8,6,21,44,28
2,2357,1637,135883,14,2,1,0,9,58,12,3,1,14,35,50
2,2363,2298,120643,5,1,6,0,12,69,4,4,3,11,37,48
2,2386,1588,138191,7,1,4,0,8,74,2,4,6,17,35,43
2,2534,1586,162952,13,0,17,0,5,62,1,1,0,1,20,79
2,2427,676,128664,8,1,19,0,3,66,0,4,0,19,33,49
1,2717,1546,220788,10,0,22,0,7,58,1,3,5,6,21,68
1,2685,1022,186571,12,1,29,0,2,50,7,0,4,7,13,76
2,2715,1071,170516,6,2,29,0,15,43,5,0,11,4,20,65
2,2498,1861,153421,16,0,29,0,1,52,2,0,0,17,31,52
