,Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
16,3.0,2508.0,750.0,88111.0,0.0,0.0,0.0,0.0,25.0,65.0,3.0,6.0,20.0,36.0,36.0,9.0
17,3.0,2578.0,1011.0,89600.0,0.0,1.0,2.0,0.0,22.0,69.0,3.0,4.0,15.0,25.0,35.0,25.0
18,2.0,2670.0,1154.0,126297.0,4.0,0.0,4.0,0.0,11.0,77.0,4.0,0.0,4.0,25.0,27.0,44.0
19,2.0,2560.0,1186.0,161727.0,1.0,3.0,5.0,0.0,16.0,72.0,2.0,1.0,2.0,22.0,29.0,47.0
20,2.0,2032.0,2354.0,103099.0,15.0,0.0,1.0,0.0,12.0,63.0,7.0,2.0,10.0,21.0,12.0,58.0
21,3.0,2190.0,1419.0,77967.0,9.0,0.0,15.0,0.0,29.0,46.0,2.0,0.0,18.0,9.0,41.0,31.0
22,2.0,2432.0,1064.0,155119.0,1.0,0.0,6.0,0.0,9.0,78.0,3.0,1.0,7.0,19.0,25.0,50.0
23,2.0,2379.0,2705.0,120859.0,10.0,0.0,1.0,0.0,7.0,76.0,5.0,1.0,13.0,20.0,27.0,40.0
24,2.0,2543.0,2610.0,161129.0,13.0,0.0,6.0,0.0,7.0,67.0,6.0,0.0,1.0,7.0,35.0,58.0
25,1.0,2519.0,1369.0,204188.0,6.0,0.0,6.0,0.0,6.0,78.0,4.0,0.0,1.0,4.0,26.0,69.0
26,1.0,2244.0,3069.0,181835.0,7.0,1.0,6.0,0.0,7.0,73.0,4.0,1.0,0.0,7.0,17.0,75.0
27,1.0,2449.0,1902.0,174932.0,3.0,0.0,4.0,0.0,8.0,79.0,5.0,0.0,2.0,7.0,24.0,68.0
